date,timestamp_ns,count,alert
2025-12-05,00:00:000,299.642,
2025-12-05,00:00:416,299.929,
2025-12-05,00:00:833,299.142,
2025-12-05,00:01:250,300.319,
2025-12-05,00:01:666,297.230,
2025-12-05,00:02:083,295.028,
2025-12-05,00:02:500,293.375,
2025-12-05,00:02:916,294.522,
2025-12-05,00:03:333,296.169,
2025-12-05,00:03:750,295.339,
2025-12-05,00:04:166,298.059,
2025-12-05,00:04:583,301.799,
2025-12-05,00:05:000,219.234,
2025-12-05,00:05:416,133.802,
2025-12-05,00:05:833,0.000,lens_covered_or_extremely_dark
2025-12-05,00:06:250,0.000,lens_covered_or_extremely_dark
2025-12-05,00:06:666,0.000,lens_covered_or_extremely_dark
2025-12-05,00:07:083,0.000,camera_frozen
2025-12-05,00:07:500,0.000,camera_frozen
